row,name,light_years_from_earth,stellar_magnitude,discovery_date,planet_type,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,mass,radius,orbit_radius
1867,Kepler-1336 c,2681.0,14.038,2016,Super Earth,5.8 days,0,Kepler-1335,Transit,,0.0,18h59m21.22s,+42d04m13.6s,4903.0,0.77,0.74,3.57,1.71,0
1868,Kepler-1337 b,1918.0,15.817,2016,Neptune-like,24.4 days,0,Kepler-1336,Transit,,0.0,19h45m06.65s,+46d53m59.5s,5512.0,0.94,1.3,6.39,0.215,0
1869,Kepler-1338 b,2019.0,13.574000000000002,2016,Terrestrial,0.9 days,0,Kepler-1336,Transit,,0.0,19h45m06.65s,+46d53m59.5s,5512.0,0.94,1.3,0.721,0.92,0
1870,Kepler-1339 b,871.0,12.123,2016,Terrestrial,1.3 days,0,Kepler-1337,Transit,,0.0,19h08m02.18s,+46d47m46.0s,4523.0,0.7,0.67,0.285,0.71,0
1871,Kepler-133 b,2170.0,12.841,2014,Super Earth,8.1 days,0,Kepler-1338,Transit,,0.0,18h56m10.16s,+41d41m56.9s,5909.0,1.04,1.05,3.75,1.76,0.083
1872,Kepler-133 c,2170.0,12.841,2014,Neptune-like,31.5 days,0,Kepler-1339,Transit,,0.0,18h54m58.99s,+48d22m24.2s,5586.0,0.94,0.93,8.45,0.253,0.204
1873,Kepler-1340 b,4635.0,14.755,2016,Super Earth,0.7 days,0,Kepler-134,Transit,,0.0,18h58m57.36s,+49d35m54.2s,5983.0,,1.18,3.02,1.55,0
1874,Kepler-1341 b,1520.0,15.018,2016,Neptune-like,133 days,0,Kepler-134,Transit,,0.0,18h58m57.36s,+49d35m54.2s,5983.0,,1.18,9.22,0.267,0
1875,Kepler-1342 b,3070.0,15.383,2016,Super Earth,2.2 days,0,Kepler-1340,Transit,,0.0,19h44m55.87s,+42d28m22.0s,6331.0,1.27,1.42,3.39,1.66,0
1876,Kepler-1343 b,4263.0,15.53,2016,Super Earth,3.4 days,0,Kepler-1341,Transit,,0.0,18h42m02.82s,+44d09m33.7s,4662.0,0.79,0.72,4.38,1.93,0
1877,Kepler-1344 b,2776.0,14.027,2016,Super Earth,4.8 days,0,Kepler-1342,Transit,,0.0,19h48m04.82s,+43d25m57.2s,5527.0,0.93,0.9,4.04,1.84,0
1878,Kepler-1345 b,3797.0,13.705,2016,Neptune-like,44.6 days,0,Kepler-1343,Transit,,0.0,19h37m10.69s,+50d43m31.4s,5759.0,0.95,0.93,6.17,0.211,0
1879,Kepler-1346 b,3663.0,14.462,2016,Super Earth,3.4 days,0,Kepler-1344,Transit,,0.0,19h08m20.71s,+46d56m44.9s,5981.0,1.09,1.13,3.12,1.58,0
1880,Kepler-1347 b,1047.0,13.412,2016,Super Earth,14 days,0,Kepler-1345,Transit,,0.0,19h29m54.71s,+46d01m22.2s,6449.0,1.32,1.55,1.08,1.03,0
1881,Kepler-1348 b,3370.0,14.679,2016,Super Earth,27.6 days,0,Kepler-1346,Transit,,0.0,19h27m21.91s,+45d10m45.0s,6133.0,1.14,1.21,4.42,1.94,0
1882,Kepler-1349 b,848.0,11.082,2016,Terrestrial,2.1 days,0,Kepler-1347,Transit,,0.0,19h58m38.31s,+40d50m37.9s,5193.0,0.82,0.79,0.271,0.7,0
1883,Kepler-134 b,1103.0,12.222,2014,Super Earth,5.3 days,0,Kepler-1348,Transit,,0.0,19h28m20.99s,+49d47m19.6s,5911.0,1.04,1.04,4.66,2.0,0.06
1884,Kepler-134 c,1103.0,12.222,2014,Super Earth,10.1 days,0,Kepler-1349,Transit,,0.0,19h05m21.21s,+48d44m38.8s,6086.0,1.16,1.28,2.13,1.26,0.092
1885,Kepler-1350 b,1142.0,16.233,2016,Neptune-like,4.5 days,0,Kepler-135,Transit,,0.0,19h21m58.83s,+38d47m43.7s,6090.0,,1.27,6.9,0.225,0
1886,Kepler-1350 c,1142.0,16.233,2016,Super Earth,1.8 days,0,Kepler-135,Transit,,0.0,19h21m58.83s,+38d47m43.7s,6090.0,,1.27,3.64,1.73,0
1887,Kepler-1351 b,786.0,14.087,2016,Terrestrial,0.9 days,0,Kepler-1350,Transit,,0.0,19h13m00.14s,+46d40m46.6s,3827.0,0.55,0.53,0.208,0.65,0
1888,Kepler-1352 b,2078.0,13.25,2016,Terrestrial,1.9 days,0,Kepler-1350,Transit,,0.0,19h13m00.14s,+46d40m46.6s,3827.0,0.55,0.53,0.64,0.89,0
1889,Kepler-1353 b,1944.0,15.505999999999998,2016,Super Earth,24.8 days,0,Kepler-1351,Transit,,0.0,19h34m26.09s,+42d11m51.6s,4439.0,0.7,0.67,3.89,1.8,0
1890,Kepler-1354 b,3448.0,14.369000000000002,2016,Neptune-like,76.6 days,0,Kepler-1352,Transit,,0.0,19h22m46.50s,+48d42m05.3s,6118.0,1.11,1.16,9.11,0.265,0
1891,Kepler-1355 b,3141.0,15.452,2016,Super Earth,1.3 days,0,Kepler-1353,Transit,,0.0,19h42m56.48s,+42d34m34.5s,4776.0,0.76,0.72,2.73,1.46,0
1892,Kepler-1356 b,2874.0,15.72,2016,Super Earth,0.6 days,0,Kepler-1354,Transit,,0.0,19h24m58.84s,+37d45m32.6s,6168.0,1.16,1.24,2.96,1.53,0
1893,Kepler-1357 b,3347.0,15.22,2016,Super Earth,3 days,0,Kepler-1355,Transit,,0.0,18h54m57.94s,+49d04m04.7s,5352.0,0.88,0.83,2.18,1.28,0
1894,Kepler-1358 b,1820.0,14.54,2016,Super Earth,7.1 days,0,Kepler-1356,Transit,,0.0,19h23m58.88s,+43d14m38.2s,5106.0,0.82,0.78,1.46,1.12,0
1895,Kepler-1359 b,2182.0,15.753,2016,Neptune-like,59.5 days,0,Kepler-1357,Transit,,0.0,19h26m11.54s,+50d21m11.9s,5597.0,0.93,0.9,8.4,0.252,0
1896,Kepler-135 b,2065.0,12.679,2014,Super Earth,6 days,0,Kepler-1358,Transit,,0.0,19h04m40.93s,+43d00m32.1s,5181.0,0.82,0.79,3.93,1.81,0.067
1897,Kepler-135 c,2065.0,12.679,2014,Super Earth,11.4 days,0,Kepler-1359,Transit,,0.0,19h18m09.32s,+41d53m34.2s,4709.0,0.78,0.72,1.65,1.16,0.103
1898,Kepler-1360 b,4583.0,13.88,2016,Neptune-like,40.5 days,0,Kepler-136,Transit,,0.0,19h45m52.16s,+42d35m55.6s,6165.0,,1.35,11.5,0.303,0
1899,Kepler-1361 b,1318.0,13.917,2016,Terrestrial,3.6 days,0,Kepler-136,Transit,,0.0,19h45m52.16s,+42d35m55.6s,6165.0,,1.35,0.566,0.86,0
1900,Kepler-1362 b,2502.0,15.825,2016,Neptune-like,136.2 days,0,Kepler-1360,Transit,,0.0,20h01m22.58s,+45d37m23.6s,6778.0,1.51,1.83,7.27,0.232,0
1901,Kepler-1363 b,1823.0,15.292,2016,Super Earth,2.9 days,0,Kepler-1361,Transit,,0.0,18h54m15.68s,+46d54m15.3s,5131.0,0.83,0.79,2.1,1.25,0
1902,Kepler-1364 b,3748.0,13.186,2016,Neptune-like,13.3 days,0,Kepler-1362,Transit,,0.0,19h14m09.25s,+40d52m37.6s,4857.0,0.8,0.74,5.27,2.15,0
1903,Kepler-1365 b,1765.0,13.38,2016,Terrestrial,7.7 days,0,Kepler-1363,Transit,,0.0,19h47m59.17s,+49d15m23.1s,4839.0,0.76,0.72,0.721,0.92,0
1904,Kepler-1365 c,1765.0,13.38,2016,Terrestrial,4.8 days,0,Kepler-1364,Transit,,0.0,19h40m36.53s,+49d35m15.4s,6805.0,1.49,1.79,0.437,0.8,0
1905,Kepler-1366 b,1288.0,15.889,2016,Super Earth,2.2 days,0,Kepler-1365,Transit,,0.0,19h28m47.93s,+42d02m45.9s,5770.0,1.0,1.05,2.63,1.43,0
1906,Kepler-1367 b,1165.0,15.558,2016,Terrestrial,1.6 days,0,Kepler-1365,Transit,,0.0,19h28m47.93s,+42d02m45.9s,5770.0,1.0,1.05,0.721,0.92,0
1907,Kepler-1368 b,5709.0,15.873,2016,Super Earth,0.7 days,0,Kepler-1366,Transit,,0.0,19h00m15.58s,+41d33m17.5s,4070.0,0.62,0.6,3.36,1.65,0
1908,Kepler-1369 b,4032.0,15.35,2016,Neptune-like,25.9 days,0,Kepler-1367,Transit,,0.0,19h13m39.97s,+47d52m43.4s,4106.0,0.62,0.6,7.7,0.24,0
1909,Kepler-136 b,1389.0,11.754,2014,Super Earth,11.6 days,0,Kepler-1368,Transit,,0.0,19h39m04.08s,+41d38m40.8s,5906.0,1.07,1.08,19.8,2.05,0.106
1910,Kepler-136 c,1389.0,11.754,2014,Super Earth,16.4 days,0,Kepler-1369,Transit,,0.0,19h03m11.34s,+40d56m10.3s,5761.0,0.99,0.99,4.62,1.99,0.133
1911,Kepler-1370 b,2864.0,13.674,2016,Super Earth,20.3 days,0,Kepler-137,Transit,,0.0,18h48m32.53s,+43d02m20.8s,5187.0,,0.8,4.04,1.84,0
1912,Kepler-1370 c,2864.0,13.674,2016,Super Earth,7.4 days,0,Kepler-137,Transit,,0.0,18h48m32.53s,+43d02m20.8s,5187.0,,0.8,2.15,1.27,0
1913,Kepler-1371 b,1468.0,13.834,2016,Terrestrial,3.4 days,0,Kepler-1370,Transit,,0.0,18h58m15.76s,+41d46m42.5s,6202.0,1.19,1.29,0.315,0.73,0
1914,Kepler-1371 c,1468.0,13.834,2016,Terrestrial,2 days,0,Kepler-1370,Transit,,0.0,18h58m15.76s,+41d46m42.5s,6202.0,1.19,1.29,0.196,0.64,0
1915,Kepler-1372 b,3787.0,15.349,2016,Super Earth,1.3 days,0,Kepler-1371,Transit,,0.0,19h15m19.53s,+47d33m07.2s,5361.0,0.87,0.83,2.15,1.27,0
1916,Kepler-1373 b,3627.0,14.072,2016,Super Earth,1.3 days,0,Kepler-1371,Transit,,0.0,19h15m19.53s,+47d33m07.2s,5361.0,0.87,0.83,1.65,1.16,0
1917,Kepler-1374 b,3702.0,15.93,2016,Neptune-like,10.7 days,0,Kepler-1372,Transit,,0.0,19h15m32.79s,+44d50m22.4s,5677.0,0.98,0.97,5.86,0.204,0
1918,Kepler-1375 b,4038.0,13.71,2016,Super Earth,3.3 days,0,Kepler-1373,Transit,,0.0,19h03m00.49s,+39d14m57.1s,6299.0,1.22,1.33,3.68,1.74,0
1919,Kepler-1376 b,2818.0,14.672,2016,Super Earth,5.3 days,0,Kepler-1374,Transit,,0.0,19h25m24.00s,+45d10m20.2s,5323.0,0.85,0.81,1.16,1.05,0
1920,Kepler-1377 b,3324.0,15.889,2016,Super Earth,0.7 days,0,Kepler-1375,Transit,,0.0,19h45m10.45s,+43d24m11.8s,6704.0,1.47,1.78,2.1,1.25,0
1921,Kepler-1378 b,1833.0,16.054000000000002,2016,Neptune-like,12 days,0,Kepler-1376,Transit,,0.0,19h07m50.02s,+42d32m29.0s,5659.0,0.98,0.97,5.48,2.2,0
1922,Kepler-1379 b,3102.0,15.853,2016,Super Earth,0.9 days,0,Kepler-1377,Transit,,0.0,19h16m46.91s,+46d39m06.1s,5218.0,0.86,0.82,2.24,1.3,0
1923,Kepler-137 b,997.0,12.941,2014,Super Earth,8.4 days,0,Kepler-1378,Transit,,0.0,19h49m29.60s,+40d21m59.0s,4407.0,0.7,0.67,2.76,1.47,0.077
1924,Kepler-137 c,997.0,12.941,2014,Super Earth,18.7 days,0,Kepler-1379,Transit,,0.0,19h34m40.91s,+41d24m36.9s,5188.0,0.83,0.79,4.19,1.88,0.13
1925,Kepler-1380 b,3944.0,15.614,2016,Super Earth,10.3 days,0,Kepler-138,Transit,,2.6,19h21m31.57s,+43d17m34.7s,3841.0,0.52,0.44,2.63,1.43,0
1926,Kepler-1381 b,4260.0,15.478,2016,Neptune-like,25.4 days,0,Kepler-138,Transit,,6.2,19h21m31.57s,+43d17m34.7s,3841.0,0.52,0.44,5.69,0.201,0
1927,Kepler-1382 b,2381.0,12.757,2016,Super Earth,16.4 days,0,Kepler-138,Transit,,2.1,19h21m31.57s,+43d17m34.7s,3841.0,0.52,0.44,4.19,1.88,0
1928,Kepler-1383 b,3135.0,13.708,2016,Super Earth,13.9 days,0,Kepler-1380,Transit,,0.0,19h12m27.85s,+42d26m25.5s,5570.0,0.96,0.94,2.57,1.41,0
1929,Kepler-1384 b,2016.0,15.446,2016,Super Earth,15.4 days,0,Kepler-1381,Transit,,0.0,19h10m08.58s,+48d43m40.0s,5747.0,0.96,0.94,4.42,1.94,0
1930,Kepler-1385 b,1719.0,12.844,2016,Terrestrial,2.9 days,0,Kepler-1382,Transit,,0.0,19h41m30.57s,+39d02m52.9s,6161.0,1.36,1.72,0.543,0.85,0
1931,Kepler-1386 b,2734.0,14.417,2016,Super Earth,6.7 days,0,Kepler-1383,Transit,,0.0,19h51m46.75s,+42d11m30.8s,6370.0,1.26,1.44,2.07,1.24,0
1932,Kepler-1387 b,1602.0,14.58,2016,Terrestrial,2.3 days,0,Kepler-1384,Transit,,0.0,19h44m51.64s,+39d31m37.4s,4919.0,0.78,0.74,0.749,0.93,0
1933,Kepler-1388 b,1605.0,16.294,2016,Neptune-like,12.3 days,0,Kepler-1385,Transit,,0.0,18h50m31.53s,+46d28m52.0s,5732.0,1.15,1.29,7.22,0.231,0
1934,Kepler-1388 c,1605.0,16.294,2016,Neptune-like,5.5 days,0,Kepler-1386,Transit,,0.0,18h43m17.61s,+42d38m09.8s,5733.0,1.02,1.03,5.73,0.202,0
1935,Kepler-1388 d,1605.0,16.294,2016,Neptune-like,21 days,0,Kepler-1387,Transit,,0.0,19h29m45.70s,+43d12m34.0s,5046.0,0.82,0.77,8.55,0.255,0
1936,Kepler-1388 e,1605.0,16.294,2016,Neptune-like,37.6 days,0,Kepler-1388,Transit,,0.0,18h53m20.65s,+47d10m28.3s,4098.0,0.63,0.61,6.62,0.219,0
1937,Kepler-1389 b,1700.0,14.684,2016,Super Earth,99.3 days,0,Kepler-1388,Transit,,0.0,18h53m20.65s,+47d10m28.3s,4098.0,0.63,0.61,3.78,1.77,0
1938,Kepler-138 b,219.0,12.472,2014,Terrestrial,10.3 days,0.01,Kepler-1388,Transit,,0.0,18h53m20.65s,+47d10m28.3s,4098.0,0.63,0.61,0.066,0.522,0.076
1939,Kepler-138 c,219.0,12.472,2014,Super Earth,13.8 days,0.01,Kepler-1388,Transit,,0.0,18h53m20.65s,+47d10m28.3s,4098.0,0.63,0.61,1.97,1.197,0.0906
1940,Kepler-138 d,219.0,12.472,2014,Super Earth,23.1 days,0.03,Kepler-1389,Transit,,0.0,19h02m52.18s,+44d45m30.3s,5078.0,0.81,0.74,0.64,1.212,0.12781
1941,Kepler-1390 b,2479.0,14.402,2016,Super Earth,6.5 days,0,Kepler-139,Transit,,0.0,18h49m34.07s,+43d53m21.7s,5594.0,,1.3,1.76,1.18,0
1942,Kepler-1391 b,2352.0,13.828,2016,Super Earth,54.4 days,0,Kepler-139,Transit,,0.0,18h49m34.07s,+43d53m21.7s,5594.0,,1.3,3.46,1.68,0
1943,Kepler-1392 b,3644.0,15.666,2016,Super Earth,15.1 days,0,Kepler-1390,Transit,,0.0,19h54m38.96s,+48d14m55.6s,5753.0,0.98,0.98,4.5,1.96,0
1944,Kepler-1393 b,1507.0,13.332,2016,Terrestrial,2.4 days,0,Kepler-1391,Transit,,0.0,19h39m19.45s,+46d39m34.5s,5840.0,1.03,1.1,0.437,0.8,0
1945,Kepler-1394 b,2675.0,11.714,2016,Super Earth,3.9 days,0,Kepler-1392,Transit,,0.0,19h15m04.07s,+46d23m39.9s,5479.0,0.88,0.85,2.51,1.39,0
1946,Kepler-1395 b,1654.0,12.536,2016,Terrestrial,3.8 days,0,Kepler-1393,Transit,,0.0,18h57m50.27s,+40d08m33.2s,5697.0,0.95,0.92,0.437,0.8,0
1947,Kepler-1396 b,4032.0,14.527,2016,Super Earth,18.2 days,0,Kepler-1394,Transit,,0.0,18h53m48.77s,+45d05m02.9s,6481.0,1.64,2.55,4.94,2.07,0
1948,Kepler-1397 b,2512.0,14.091,2016,Super Earth,47.4 days,0,Kepler-1395,Transit,,0.0,19h29m21.01s,+47d39m51.1s,6138.0,1.17,1.23,3.61,1.72,0
1949,Kepler-1398 b,2587.0,13.66,2016,Terrestrial,2.8 days,0,Kepler-1396,Transit,,0.0,19h37m20.75s,+44d55m05.9s,6195.0,1.18,1.27,0.666,0.9,0
1950,Kepler-1398 c,2587.0,13.66,2016,Super Earth,4.1 days,0,Kepler-1397,Transit,,0.0,19h58m42.21s,+47d04m33.0s,6026.0,1.09,1.12,1.08,1.03,0
1951,Kepler-1399 b,4097.0,15.507,2016,Super Earth,1.6 days,0,Kepler-1398,Transit,,0.0,19h39m27.88s,+48d38m20.3s,6126.0,1.13,1.18,2.1,1.25,0
1952,Kepler-139 b,1290.0,12.677,2014,Neptune-like,15.8 days,0,Kepler-1398,Transit,,0.0,19h39m27.88s,+48d38m20.3s,6126.0,1.13,1.18,8.96,0.262,0.127
1953,Kepler-139 c,1290.0,12.677,2014,Neptune-like,157.1 days,0,Kepler-1399,Transit,,0.0,19h33m14.80s,+46d02m30.2s,5735.0,0.97,0.96,11.4,0.302,0.586
1954,Kepler-1400 b,2867.0,15.713,2016,Super Earth,9.1 days,0,Kepler-14,Transit,90.0,7.1,19h10m50.12s,+47d19m59.0s,6395.0,1.51,2.05,3.26,1.62,0
1955,Kepler-1401 b,4051.0,14.972,2016,Super Earth,11.2 days,0,Kepler-140,Transit,,0.0,19h09m28.67s,+46d46m05.6s,6077.0,,1.29,3.46,1.68,0
1956,Kepler-1402 b,2221.0,14.608,2016,Terrestrial,2 days,0,Kepler-140,Transit,,0.0,19h09m28.67s,+46d46m05.6s,6077.0,,1.29,0.363,0.76,0
1957,Kepler-1403 b,5875.0,15.591,2016,Neptune-like,5.2 days,0,Kepler-1400,Transit,,0.0,19h05m05.20s,+45d26m26.9s,5044.0,0.83,0.78,5.22,2.14,0
1958,Kepler-1404 b,3086.0,15.703,2016,Super Earth,15.9 days,0,Kepler-1401,Transit,,0.0,19h09m51.85s,+40d45m30.4s,5964.0,1.07,1.1,4.7,2.01,0
1959,Kepler-1405 b,5236.0,15.818,2016,Neptune-like,28.2 days,0,Kepler-1402,Transit,,0.0,19h27m23.48s,+48d58m05.3s,5416.0,0.9,0.87,14.9,0.353,0
1960,Kepler-1406 b,1915.0,13.382,2016,Super Earth,11.6 days,0,Kepler-1403,Transit,,0.0,19h23m28.25s,+38d57m36.4s,6060.0,1.11,1.15,1.37,1.1,0
1961,Kepler-1407 b,4159.0,14.892,2016,Neptune-like,20.1 days,0,Kepler-1404,Transit,,0.0,19h44m02.26s,+50d29m54.2s,5261.0,0.84,0.8,5.69,0.201,0
1962,Kepler-1408 b,1390.0,11.962,2016,Terrestrial,3 days,0,Kepler-1405,Transit,,0.0,19h42m44.36s,+39d15m22.1s,5925.0,1.05,1.07,0.64,0.89,0
1963,Kepler-1409 b,2355.0,15.172,2016,Super Earth,0.8 days,0,Kepler-1406,Transit,,0.0,19h28m19.65s,+38d54m54.1s,5892.0,1.05,1.12,1.12,1.04,0
1964,Kepler-140 b,1937.0,12.941,2014,Super Earth,3.3 days,0,Kepler-1407,Transit,,0.0,18h55m46.18s,+41d28m17.8s,6010.0,1.1,1.15,3.22,1.61,0.045
1965,Kepler-140 c,1937.0,12.941,2014,Super Earth,91.4 days,0,Kepler-1408,Transit,,0.0,18h50m47.99s,+45d25m32.8s,6170.0,1.21,1.35,3.89,1.8,0.414
1966,Kepler-1410 b,1197.0,15.948,2016,Super Earth,60.9 days,0,Kepler-1409,Transit,,0.0,19h20m20.35s,+51d12m31.0s,5160.0,0.83,0.79,3.82,1.78,0.2543
1967,Kepler-1411 b,4668.0,15.771,2016,Neptune-like,86.1 days,0,Kepler-141,Transit,,0.0,19h51m53.02s,+47d43m54.0s,4910.0,,0.79,8.35,0.252,0
1968,Kepler-1412 b,2084.0,13.193,2016,Terrestrial,3.6 days,0,Kepler-141,Transit,,0.0,19h51m53.02s,+47d43m54.0s,4910.0,,0.79,0.498,0.83,0
1969,Kepler-1413 b,3790.0,16.285,2016,Super Earth,13.2 days,0,Kepler-1410,Transit,,0.0,19h22m02.45s,+38d44m36.8s,4092.0,0.63,0.6,3.97,1.82,0
1970,Kepler-1414 b,1742.0,14.861,2016,Super Earth,3.5 days,0,Kepler-1411,Transit,,0.0,19h05m26.78s,+42d57m50.1s,5664.0,0.95,0.92,2.04,1.23,0
1971,Kepler-1415 b,3477.0,15.720999999999998,2016,Super Earth,0.6 days,0,Kepler-1412,Transit,,0.0,19h28m43.23s,+49d12m08.9s,5880.0,1.06,1.27,2.21,1.29,0
1972,Kepler-1416 b,2632.0,14.226,2016,Terrestrial,1.5 days,0,Kepler-1413,Transit,,0.0,19h37m22.00s,+46d29m55.6s,5196.0,0.84,0.8,0.615,0.88,0
1973,Kepler-1417 b,2140.0,13.858,2016,Terrestrial,20.4 days,0,Kepler-1414,Transit,,0.0,18h59m42.86s,+42d25m20.3s,4951.0,0.8,0.75,0.972,1.0,0
1974,Kepler-1418 b,1628.0,15.281,2016,Super Earth,22.5 days,0,Kepler-1415,Transit,,0.0,19h00m37.66s,+47d52m24.0s,5267.0,0.89,0.84,3.39,1.66,0
1975,Kepler-1419 b,4710.0,15.718,2016,Neptune-like,42.5 days,0,Kepler-1416,Transit,,0.0,19h54m39.23s,+43d53m38.7s,6019.0,1.09,1.15,8.55,0.255,0
1976,Kepler-141 b,991.0,13.421,2014,Terrestrial,3.1 days,0,Kepler-1417,Transit,,0.0,19h23m47.97s,+40d36m18.8s,5839.0,1.02,1.02,0.257,0.69,0.039
1977,Kepler-141 c,991.0,13.421,2014,Super Earth,7 days,0,Kepler-1418,Transit,,0.0,18h51m59.39s,+41d40m42.8s,4770.0,0.77,0.72,2.57,1.41,0.067
1978,Kepler-1420 b,3011.0,15.849,2016,Super Earth,6.7 days,0,Kepler-1419,Transit,,0.0,19h29m01.11s,+37d58m17.1s,5796.0,1.01,1.01,2.18,1.28,0
1979,Kepler-1421 b,2202.0,12.726,2016,Terrestrial,6.9 days,0,Kepler-142,Transit,,0.0,19h40m28.54s,+48d28m52.6s,5790.0,,1.27,0.749,0.93,0
1980,Kepler-1422 b,6788.0,15.619000000000002,2016,Super Earth,18.6 days,0,Kepler-142,Transit,,0.0,19h40m28.54s,+48d28m52.6s,5790.0,,1.27,4.74,2.02,0
1981,Kepler-1423 b,1465.0,14.558,2016,Super Earth,24 days,0,Kepler-142,Transit,,0.0,19h40m28.54s,+48d28m52.6s,5790.0,,1.27,1.2,1.06,0
1982,Kepler-1424 b,2022.0,13.592,2016,Super Earth,29.6 days,0,Kepler-1420,Transit,,0.0,19h44m48.91s,+42d46m40.2s,5187.0,0.82,0.79,1.65,1.16,0
1983,Kepler-1425 b,1628.0,13.563,2016,Terrestrial,14.5 days,0,Kepler-1421,Transit,,0.0,19h06m19.34s,+48d32m39.1s,6335.0,1.25,1.42,0.779,0.94,0
1984,Kepler-1426 b,3950.0,15.166,2016,Super Earth,14.3 days,0,Kepler-1422,Transit,,0.0,19h35m33.64s,+48d20m10.0s,6194.0,1.15,1.23,3.05,1.56,0
1985,Kepler-1427 b,3980.0,15.482,2016,Super Earth,1 days,0,Kepler-1423,Transit,,0.0,19h12m58.51s,+41d06m36.3s,4939.0,0.79,0.75,1.37,1.1,0
1986,Kepler-1428 b,2616.0,13.523,2016,Super Earth,10.7 days,0,Kepler-1424,Transit,,0.0,19h23m58.00s,+40d13m45.6s,5838.0,1.02,1.07,3.33,1.64,0
1987,Kepler-1429 b,3771.0,14.832,2016,Super Earth,4.5 days,0,Kepler-1425,Transit,,0.0,19h39m48.25s,+43d00m44.8s,5718.0,0.97,0.95,2.21,1.29,0
1988,Kepler-142 b,1819.0,13.197,2014,Super Earth,2 days,0,Kepler-1426,Transit,,0.0,19h30m10.98s,+49d25m01.1s,5831.0,1.02,1.02,4.62,1.99,0.032
1989,Kepler-142 c,1819.0,13.197,2014,Neptune-like,4.8 days,0,Kepler-1427,Transit,,0.0,19h41m23.92s,+45d06m52.4s,5793.0,1.01,1.01,8.55,0.255,0.057
1990,Kepler-142 d,1819.0,13.197,2014,Neptune-like,41.8 days,0,Kepler-1428,Transit,,0.0,19h50m34.14s,+49d35m41.9s,6184.0,1.28,1.36,5.31,2.16,0.242
1991,Kepler-1430 b,1765.0,15.282,2016,Super Earth,2.5 days,0,Kepler-1429,Transit,,0.0,19h01m27.90s,+49d02m41.5s,5902.0,1.05,1.07,1.76,1.18,0
1992,Kepler-1431 b,4143.0,15.271,2016,Super Earth,5.9 days,0,Kepler-143,Transit,,0.0,19h52m16.25s,+49d24m45.4s,5848.0,,1.36,2.76,1.47,0
1993,Kepler-1432 b,5063.0,15.37,2016,Neptune-like,23.9 days,0,Kepler-143,Transit,,0.0,19h52m16.25s,+49d24m45.4s,5848.0,,1.36,5.56,2.22,0
1994,Kepler-1433 b,4332.0,14.826,2016,Super Earth,4.1 days,0,Kepler-1430,Transit,,0.0,19h18m47.40s,+43d22m19.5s,4796.0,0.77,0.72,3.05,1.56,0
1995,Kepler-1434 b,2218.0,12.042,2016,Super Earth,8.1 days,0,Kepler-1431,Transit,,0.0,19h30m38.01s,+49d51m54.7s,5806.0,1.03,1.03,1.41,1.11,0
1996,Kepler-1435 b,2221.0,12.869000000000002,2016,Terrestrial,4.5 days,0,Kepler-1432,Transit,,0.0,19h42m05.80s,+49d49m46.4s,6031.0,1.09,1.13,0.566,0.86,0
1997,Kepler-1436 b,3725.0,14.91,2016,Super Earth,9.7 days,0,Kepler-1433,Transit,,0.0,19h09m27.19s,+49d27m24.8s,6097.0,1.14,1.19,2.27,1.31,0
1998,Kepler-1437 b,3856.0,15.661,2016,Super Earth,10.9 days,0,Kepler-1434,Transit,,0.0,19h42m09.21s,+51d12m10.6s,6291.0,1.47,2.04,2.45,1.37,0
1999,Kepler-1438 b,2825.0,14.861,2016,Terrestrial,2.3 days,0,Kepler-1435,Transit,,0.0,19h24m41.59s,+44d55m16.1s,6356.0,1.21,1.32,0.779,0.94,0
2000,Kepler-1439 b,701.0,16.098,2016,Super Earth,8.1 days,0,Kepler-1436,Transit,,0.0,19h50m50.78s,+46d46m04.9s,5972.0,1.06,1.09,2.73,1.46,0
2001,Kepler-143 b,2703.0,13.706,2014,Neptune-like,16 days,0,Kepler-1437,Transit,,0.0,19h27m27.58s,+49d19m33.3s,5557.0,0.93,0.9,6.39,0.215,0.127
2002,Kepler-143 c,2703.0,13.706,2014,Neptune-like,27.1 days,0,Kepler-1438,Transit,,0.0,19h17m09.55s,+40d40m54.0s,5530.0,0.97,0.96,11.3,0.301,0.181
2003,Kepler-1440 b,2234.0,14.102,2016,Super Earth,39.9 days,0,Kepler-1439,Transit,,0.0,19h02m57.55s,+40d58m48.1s,3578.0,0.46,0.43,2.13,1.26,0
2004,Kepler-1441 b,2450.0,14.257,2016,Super Earth,39.4 days,0,Kepler-144,Transit,,0.0,18h47m39.76s,+42d46m31.8s,6075.0,,1.24,2.27,1.31,0
2005,Kepler-1442 b,1713.0,12.03,2016,Neptune-like,81.4 days,0,Kepler-144,Transit,,0.0,18h47m39.76s,+42d46m31.8s,6075.0,,1.24,14.7,0.351,0
2006,Kepler-1443 b,1549.0,12.212,2016,Terrestrial,2.4 days,0,Kepler-1440,Transit,,0.0,19h01m23.27s,+48d18m44.1s,5698.0,0.98,0.96,0.871,0.97,0
2007,Kepler-1444 b,1109.0,12.258,2016,Neptune-like,33.4 days,0,Kepler-1441,Transit,,0.0,19h34m52.59s,+43d07m28.5s,5802.0,1.0,1.0,5.39,2.18,0
